Position,contribution,skill,contributions_value
Keeper,CentralDef,GK,0.87
Keeper,CentralDef,DEF,0.35
Keeper,SideDef,GK,0.61
Keeper,SideDef,DEF,0.25
CD_normal,Midfield,PM,0.25
CD_normal,CentralDef,GK,1.0
CD_normal,SideDef,DEF,0.52
CD_off,Midfield,PM,0.4
CD_off,CentralDef,GK,0.73
CD_off,SideDef,DEF,0.4
CD_tw,Midfield,PM,0.15
CD_tw,CentralDef,GK,0.67
CD_tw,SideDef,DEF,0.81
WB_norm,Midfield,PM,0.15
WB_norm,CentralDef,GK,0.38
WB_norm,SideDef,DEF,0.92
WB_off,Midfield,PM,0.2
WB_off,CentralDef,GK,0.35
WB_off,SideDef,DEF,0.74
WB_def,Midfield,PM,0.1
WB_def,CentralDef,GK,0.43
WB_def,SideDef,DEF,1.0
WB_tm,Midfield,PM,0.2
WB_tm,CentralDef,GK,0.7
WB_tm,SideDef,DEF,0.75
IM_norm,Midfield,PM,1.0
IM_norm,CentralDef,GK,0.4
IM_norm,CentralDef,PAS,0.19
IM_norm,SideDef,SCO,0.33
IM_norm,SideDef,WG,0.22
IM_norm,SideDef,SCO,0.26
IM_off,Midfield,PM,0.95
IM_off,CentralDef,GK,0.16
IM_off,CentralDef,PAS,0.09
IM_off,SideDef,SCO,0.49
IM_off,SideDef,WG,0.31
IM_off,SideDef,SCO,0.36
IM_def,Midfield,PM,0.95
IM_def,CentralDef,GK,0.58
IM_def,CentralDef,PAS,0.27
IM_def,SideDef,SCO,0.18
IM_def,SideDef,WG,0.13
IM_def,SideDef,SCO,0.14
IM_tw,Midfield,PM,0.9
IM_tw,CentralDef,GK,0.33
IM_tw,CentralDef,PAS,0.24
IM_tw,SideDef,SCO,0.23
IM_tw,SideDef,SCO,0.31
IM_tw,SideDef,WG,0.59
WI_norm,Midfield,PAS,0.45
WI_norm,Midfield,SCO,0.2
WI_norm,CentralDef,PAS,0.35
WI_norm,CentralDef,SCO,0.11
WI_norm,SideDef,WG,0.26
WI_norm,SideDef,SCO,0.86
WI_off,Midfield,PAS,0.3
WI_off,Midfield,SCO,0.13
WI_off,CentralDef,PAS,0.22
WI_off,CentralDef,SCO,0.13
WI_off,SideDef,WG,0.29
WI_off,SideDef,SCO,1.0
WI_def,Midfield,PAS,0.3
WI_def,Midfield,SCO,0.25
WI_def,CentralDef,PAS,0.61
WI_def,CentralDef,SCO,0.05
WI_def,SideDef,WG,0.21
WI_def,SideDef,SCO,0.69
WI_tm,Midfield,PAS,0.55
WI_tm,Midfield,SCO,0.25
WI_tm,CentralDef,PAS,0.29
WI_tm,CentralDef,SCO,0.16
WI_tm,SideDef,WG,0.15
WI_tm,SideDef,SCO,0.74
FW_norm,Midfield,PAS,0.25
FW_norm,Midfield,SCO,0.0
FW_norm,CentralDef,PAS,0.0
FW_norm,CentralDef,SCO,0.33
FW_norm,SideDef,WG,1.0
FW_norm,SideDef,SCO,0.14
FW_norm,CentralAttack,WG,0.24
FW_norm,SideAttack,SCO,0.27
FW_def,Midfield,PAS,0.35
FW_def,Midfield,SCO,0.0
FW_def,CentralDef,PAS,0.0
FW_def,CentralDef,SCO,0.53
FW_def,SideDef,WG,0.56
FW_def,SideDef,SCO,0.31
FW_def,CentralAttack,WG,0.13
FW_def,SideAttack,WG,0.13
FW_def_Tech,Midfield,PAS,0.35
FW_def_Tech,Midfield,SCO,0.0
FW_def_Tech,CentralDef,PAS,0.0
FW_def_Tech,CentralDef,SCO,0.53
FW_def_Tech,SideDef,WG,0.56
FW_def_Tech,SideDef,SCO,0.41
FW_def_Tech,CentralAttack,WG,0.13
FW_def_Tech,SideAttack,WG,0.13
FW_tw,Midfield,PAS,0
